Film,Director,Year,Rating,Votes,Mean_Rating
The Shawshank Redemption,Frank Darabont,1994,9.2,2281970,9.222
The Godfather,Francis Ford Coppola,1972,9.1,1574951,9.148
The Godfather: Part II,Francis Ford Coppola,1974,9,1100298,8.981
The Dark Knight,Christopher Nolan,2008,9,2245693,8.973
12 Angry Men,Sidney Lumet,1957,8.9,669694,8.93
Schindler's List,Steven Spielberg,1993,8.9,1184861,8.906
The Lord of the Rings: The Return of the King,Peter Jackson,2003,8.9,1606084,8.883
Pulp Fiction,Quentin Tarantino,1994,8.8,1782524,8.845
"Il buono, il brutto, il cattivo",Sergio Leone,1966,8.8,673363,8.796
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,8.8,1621758,8.774
Fight Club,David Fincher,1999,8.8,1809783,8.767
Forrest Gump,Robert Zemeckis,1994,8.8,1758079,8.753
Inception,Christopher Nolan,2010,8.7,2007287,8.72
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,1980,8.7,1133434,8.698
The Lord of the Rings: The Two Towers,Peter Jackson,2002,8.7,1451454,8.698
The Matrix,Lana Wachowski,1999,8.6,1634549,8.648
Goodfellas,Martin Scorsese,1990,8.6,992957,8.643
One Flew Over the Cuckoo's Nest,Milos Forman,1975,8.6,892207,8.639
Shichinin no samurai,Akira Kurosawa,1954,8.6,308430,8.603
Se7en,David Fincher,1995,8.6,1404167,8.591
La vita è bella,Roberto Benigni,1997,8.6,606586,8.583
Cidade de Deus,Fernando Meirelles,2002,8.6,686508,8.58
The Silence of the Lambs,Jonathan Demme,1991,8.6,1236043,8.575
It's a Wonderful Life,Frank Capra,1946,8.6,388787,8.571
Star Wars,George Lucas,1977,8.6,1205415,8.556
Saving Private Ryan,Steven Spielberg,1998,8.5,1205537,8.549
Sen to Chihiro no kamikakushi,Hayao Miyazaki,2001,8.5,627987,8.54
The Green Mile,Frank Darabont,1999,8.5,1114307,8.537
Gisaengchung,Bong Joon Ho,2019,8.5,475377,8.534
Interstellar,Christopher Nolan,2014,8.5,1453409,8.53
Léon,Luc Besson,1994,8.5,1008972,8.511
Hamilton,Thomas Kail,2020,8.5,38965,8.5
The Usual Suspects,Bryan Singer,1995,8.5,970089,8.5
Seppuku,Masaki Kobayashi,1962,8.5,37562,8.498
The Lion King,Roger Allers,1994,8.5,918497,8.491
Back to the Future,Robert Zemeckis,1985,8.5,1028998,8.486
The Pianist,Roman Polanski,2002,8.5,708943,8.486
Terminator 2: Judgment Day,James Cameron,1991,8.5,976100,8.485
American History X,Tony Kaye,1998,8.5,1015171,8.484
Modern Times,Charles Chaplin,1936,8.5,211624,8.483
Psycho,Alfred Hitchcock,1960,8.5,587777,8.477
Gladiator,Ridley Scott,2000,8.5,1309845,8.476
City Lights,Charles Chaplin,1931,8.5,162993,8.473
The Departed,Martin Scorsese,2006,8.5,1161212,8.471
The Intouchables,Olivier Nakache,2011,8.5,737712,8.469
Whiplash,Damien Chazelle,2014,8.5,691965,8.468
The Prestige,Christopher Nolan,2006,8.5,1157888,8.459
Hotaru no haka,Isao Takahata,1988,8.5,225983,8.454
Once Upon a Time in the West,Sergio Leone,1968,8.5,295682,8.45
Casablanca,Michael Curtiz,1942,8.4,510605,8.438
Nuovo Cinema Paradiso,Giuseppe Tornatore,1988,8.4,223481,8.43
Rear Window,Alfred Hitchcock,1954,8.4,433052,8.428
Alien,Ridley Scott,1979,8.4,769893,8.421
Apocalypse Now,Francis Ford Coppola,1979,8.4,592050,8.419
Memento,Christopher Nolan,2000,8.4,1100658,8.415
Raiders of the Lost Ark,Steven Spielberg,1981,8.4,866432,8.411
The Great Dictator,Charles Chaplin,1940,8.4,197721,8.41
Joker,Todd Phillips,2019,8.4,860721,8.394
Django Unchained,Quentin Tarantino,2012,8.4,1319807,8.39
The Lives of Others,Florian Henckel von Donnersmarck,2006,8.4,350091,8.39
Paths of Glory,Stanley Kubrick,1957,8.4,172991,8.375
The Shining,Stanley Kubrick,1980,8.4,870899,8.368
WALL·E,Andrew Stanton,2008,8.4,975906,8.368
Avengers: Infinity War,Anthony Russo,2018,8.4,798534,8.365
Sunset Blvd.,Billy Wilder,1950,8.4,196146,8.36
Witness for the Prosecution,Billy Wilder,1957,8.4,104835,8.352
Spider-Man: Into the Spider-Verse,Bob Persichetti,2018,8.4,337296,8.352
Mononoke-hime,Hayao Miyazaki,1997,8.4,331675,8.351
Oldeuboi,Chan-wook Park,2003,8.4,501827,8.351
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1964,8.4,441644,8.35
The Dark Knight Rises,Christopher Nolan,2012,8.3,1482826,8.333
Once Upon a Time in America,Sergio Leone,1984,8.3,302810,8.331
Aliens,James Cameron,1986,8.3,640224,8.324
Avengers: Endgame,Anthony Russo,2019,8.3,758402,8.322
Kimi no na wa.,Makoto Shinkai,2016,8.3,179322,8.32
Coco,Lee Unkrich,2017,8.3,353684,8.314
American Beauty,Sam Mendes,1999,8.3,1050122,8.307
Braveheart,Mel Gibson,1995,8.3,942515,8.302
3 Idiots,Rajkumar Hirani,2009,8.3,332873,8.3
Das Boot,Wolfgang Petersen,1981,8.3,226744,8.299
Toy Story,John Lasseter,1995,8.3,865590,8.296
Tengoku to jigoku,Akira Kurosawa,1963,8.3,31417,8.294
Amadeus,Milos Forman,1984,8.3,361468,8.289
Taare Zameen Par,Aamir Khan,2007,8.3,162232,8.287
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,1983,8.3,929109,8.286
Inglourious Basterds,Quentin Tarantino,2009,8.3,1231727,8.284
Reservoir Dogs,Quentin Tarantino,1992,8.3,897662,8.281
Capharnaüm,Nadine Labaki,2018,8.3,54064,8.281
Good Will Hunting,Gus Van Sant,1997,8.3,838632,8.28
2001: A Space Odyssey,Stanley Kubrick,1968,8.3,588752,8.271
Requiem for a Dream,Darren Aronofsky,2000,8.3,749356,8.267
Vertigo,Alfred Hitchcock,1958,8.3,353516,8.266
M - Eine Stadt sucht einen Mörder,Fritz Lang,1931,8.3,139531,8.263
Dangal,Nitesh Tiwari,2016,8.3,148330,8.261
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8.3,891154,8.259
1917,Sam Mendes,2019,8.3,366023,8.259
Jagten,Thomas Vinterberg,2012,8.3,270105,8.257
Citizen Kane,Orson Welles,1941,8.3,389884,8.255
Full Metal Jacket,Stanley Kubrick,1987,8.2,659080,8.249
Ladri di biciclette,Vittorio De Sica,1948,8.2,141794,8.247
The Kid,Charles Chaplin,1921,8.2,109295,8.246
A Clockwork Orange,Stanley Kubrick,1971,8.2,741199,8.246
North by Northwest,Alfred Hitchcock,1959,8.2,292038,8.246
Snatch,Guy Ritchie,2000,8.2,767358,8.244
Singin' in the Rain,Stanley Donen,1952,8.2,213489,8.244
Scarface,Brian De Palma,1983,8.2,722302,8.242
Taxi Driver,Martin Scorsese,1976,8.2,704398,8.239
Ikiru,Akira Kurosawa,1952,8.2,65553,8.235
Amélie,Jean-Pierre Jeunet,2001,8.2,691147,8.234
Lawrence of Arabia,David Lean,1962,8.2,261860,8.234
Toy Story 3,Lee Unkrich,2010,8.2,740543,8.233
The Sting,George Roy Hill,1973,8.2,236586,8.232
Metropolis,Fritz Lang,1927,8.2,156328,8.231
Jodaeiye Nader az Simin,Asghar Farhadi,2011,8.2,214426,8.231
Per qualche dollaro in più,Sergio Leone,1965,8.2,226464,8.227
Incendies,Denis Villeneuve,2010,8.2,142966,8.225
The Apartment,Billy Wilder,1960,8.2,159334,8.222
Double Indemnity,Billy Wilder,1944,8.2,139781,8.221
Idi i smotri,Elem Klimov,1985,8.2,54541,8.218
To Kill a Mockingbird,Robert Mulligan,1962,8.2,289077,8.215
Indiana Jones and the Last Crusade,Steven Spielberg,1989,8.2,677733,8.211
Up,Pete Docter,2009,8.2,912641,8.211
L.A. Confidential,Curtis Hanson,1997,8.2,522077,8.202
Heat,Michael Mann,1995,8.2,563140,8.201
Monty Python and the Holy Grail,Terry Gilliam,1975,8.2,492153,8.195
Die Hard,John McTiernan,1988,8.2,768684,8.194
Rashômon,Akira Kurosawa,1950,8.2,148465,8.191
Yôjinbô,Akira Kurosawa,1961,8.2,107834,8.19
Batman Begins,Christopher Nolan,2005,8.2,1280097,8.19
Green Book,Peter Farrelly,2018,8.2,343414,8.187
Der Untergang,Oliver Hirschbiegel,2004,8.2,325026,8.185
Bacheha-Ye aseman,Majid Majidi,1997,8.2,62489,8.184
Unforgiven,Clint Eastwood,1992,8.2,367810,8.181
Anand,Hrishikesh Mukherjee,1971,8.2,28297,8.178
Some Like It Hot,Billy Wilder,1959,8.2,238392,8.176
Ran,Akira Kurosawa,1985,8.2,109088,8.174
Hauru no ugoku shiro,Hayao Miyazaki,2004,8.2,319910,8.166
A Beautiful Mind,Ron Howard,2001,8.2,828684,8.161
All About Eve,Joseph L. Mankiewicz,1950,8.2,117811,8.16
The Great Escape,John Sturges,1963,8.2,219974,8.16
Casino,Martin Scorsese,1995,8.2,453596,8.159
Pan's Labyrinth,Guillermo del Toro,2006,8.2,607556,8.154
The Wolf of Wall Street,Martin Scorsese,2013,8.2,1143533,8.154
El secreto de sus ojos,Juan José Campanella,2009,8.2,188154,8.15
